,0
0,300144.XSHE
1,002475.XSHE
2,000001.XSHE
3,600745.XSHG
4,601998.XSHG
5,600031.XSHG
6,600795.XSHG
7,000963.XSHE
8,600079.XSHG
9,600584.XSHG
10,600161.XSHG
11,600547.XSHG
12,600848.XSHG
13,000977.XSHE
14,600741.XSHG
15,000651.XSHE
16,000725.XSHE
17,600115.XSHG
18,600010.XSHG
19,601933.XSHG
20,601169.XSHG
21,300059.XSHE
22,601100.XSHG
23,601988.XSHG
24,000858.XSHE
25,002044.XSHE
26,601111.XSHG
27,000100.XSHE
28,000703.XSHE
29,300014.XSHE
30,002594.XSHE
31,002120.XSHE
32,002050.XSHE
33,600346.XSHG
34,600886.XSHG
35,600887.XSHG
36,000786.XSHE
37,000776.XSHE
38,002049.XSHE
39,002241.XSHE
40,600309.XSHG
41,600104.XSHG
42,300122.XSHE
43,002157.XSHE
44,600809.XSHG
45,600015.XSHG
46,601766.XSHG
47,002352.XSHE
48,600655.XSHG
49,002179.XSHE
50,002202.XSHE
51,600383.XSHG
52,000538.XSHE
53,601216.XSHG
54,000338.XSHE
55,002466.XSHE
56,000002.XSHE
57,601688.XSHG
58,600760.XSHG
59,601377.XSHG
60,601318.XSHG
61,000895.XSHE
62,600276.XSHG
63,000768.XSHE
64,600183.XSHG
65,600436.XSHG
66,600085.XSHG
67,002602.XSHE
68,000568.XSHE
69,002230.XSHE
70,600196.XSHG
71,000157.XSHE
72,300015.XSHE
73,000066.XSHE
74,600050.XSHG
75,600999.XSHG
76,600660.XSHG
77,600028.XSHG
78,600570.XSHG
79,600036.XSHG
80,600143.XSHG
81,600900.XSHG
82,601857.XSHG
83,601186.XSHG
84,600048.XSHG
85,002271.XSHE
86,000783.XSHE
87,002460.XSHE
88,601328.XSHG
89,600763.XSHG
90,002001.XSHE
91,600438.XSHG
92,601898.XSHG
93,601600.XSHG
94,601607.XSHG
95,601633.XSHG
96,601818.XSHG
97,300142.XSHE
98,600893.XSHG
99,600872.XSHG
100,601618.XSHG
101,000708.XSHE
102,600132.XSHG
103,601788.XSHG
104,002600.XSHE
105,601877.XSHG
106,000661.XSHE
107,600061.XSHG
108,002555.XSHE
109,300124.XSHE
110,601669.XSHG
111,601939.XSHG
112,002129.XSHE
113,600016.XSHG
114,600837.XSHG
115,600588.XSHG
116,601989.XSHG
117,600585.XSHG
118,600519.XSHG
119,002142.XSHE
120,601390.XSHG
121,601166.XSHG
122,002064.XSHE
123,002601.XSHE
124,600018.XSHG
125,002236.XSHE
126,600606.XSHG
127,600029.XSHG
128,600426.XSHG
129,601006.XSHG
130,002414.XSHE
131,600150.XSHG
132,600030.XSHG
133,601009.XSHG
134,300274.XSHE
135,002008.XSHE
136,002415.XSHE
137,600019.XSHG
138,002252.XSHE
139,002311.XSHE
140,601668.XSHG
141,601799.XSHG
142,000800.XSHE
143,600489.XSHG
144,600362.XSHG
145,601919.XSHG
146,601088.XSHG
147,000425.XSHE
148,600600.XSHG
149,002493.XSHE
150,000069.XSHE
151,000063.XSHE
152,600011.XSHG
153,600332.XSHG
154,002024.XSHE
155,002459.XSHE
156,601336.XSHG
157,600109.XSHG
158,000596.XSHE
159,600176.XSHG
160,002410.XSHE
161,600009.XSHG
162,600690.XSHG
163,601601.XSHG
164,600845.XSHG
165,601398.XSHG
166,002032.XSHE
167,000301.XSHE
168,601901.XSHG
169,600406.XSHG
170,002624.XSHE
171,002304.XSHE
172,601628.XSHG
173,601808.XSHG
174,002568.XSHE
175,601899.XSHG
176,002371.XSHE
177,600352.XSHG
178,002027.XSHE
179,601888.XSHG
180,300003.XSHE
181,600111.XSHG
182,002007.XSHE
183,000625.XSHE
184,601288.XSHG
185,300033.XSHE
186,000876.XSHE
187,002607.XSHE
188,000938.XSHE
189,600000.XSHG
